year,month,hour,value
2016,7,0,151
2016,7,1,87
2016,7,2,49
2016,7,3,37
2016,7,4,30
2016,7,5,47
2016,7,6,177
2016,7,7,380
2016,7,8,551
2016,7,9,430
2016,7,10,424
2016,7,11,783
2016,7,12,938
2016,7,13,844
2016,7,14,645
2016,7,15,701
2016,7,16,751
2016,7,17,938
2016,7,18,942
2016,7,19,733
2016,7,20,667
2016,7,21,512
2016,7,22,365
2016,7,23,238
2016,8,0,328
2016,8,1,265
2016,8,2,132
2016,8,3,82
2016,8,4,88
2016,8,5,91
2016,8,6,341
2016,8,7,767
2016,8,8,1086
2016,8,9,1103
2016,8,10,1009
2016,8,11,1420
2016,8,12,1854
2016,8,13,1759
2016,8,14,1557
2016,8,15,1423
2016,8,16,1653
2016,8,17,2104
2016,8,18,1980
2016,8,19,1743
2016,8,20,1157
2016,8,21,953
2016,8,22,740
2016,8,23,518
2016,9,0,313
2016,9,1,217
2016,9,2,121
2016,9,3,44
2016,9,4,69
2016,9,5,74
2016,9,6,314
2016,9,7,684
2016,9,8,1053
2016,9,9,923
2016,9,10,769
2016,9,11,1073
2016,9,12,1412
2016,9,13,1312
2016,9,14,1190
2016,9,15,1145
2016,9,16,1427
2016,9,17,1815
2016,9,18,1793
2016,9,19,1362
2016,9,20,909
2016,9,21,762
2016,9,22,575
2016,9,23,510
2016,10,0,275
2016,10,1,189
2016,10,2,141
2016,10,3,66
2016,10,4,67
2016,10,5,92
2016,10,6,256
2016,10,7,697
2016,10,8,954
2016,10,9,901
2016,10,10,786
2016,10,11,1135
2016,10,12,1374
2016,10,13,1367
2016,10,14,1160
2016,10,15,1082
2016,10,16,1304
2016,10,17,1641
2016,10,18,1362
2016,10,19,962
2016,10,20,767
2016,10,21,686
2016,10,22,514
2016,10,23,381
2016,11,0,207
2016,11,1,157
2016,11,2,102
2016,11,3,70
2016,11,4,47
2016,11,5,82
2016,11,6,178
2016,11,7,621
2016,11,8,871
2016,11,9,692
2016,11,10,671
2016,11,11,770
2016,11,12,1034
2016,11,13,1050
2016,11,14,903
2016,11,15,910
2016,11,16,1109
2016,11,17,1200
2016,11,18,1033
2016,11,19,759
2016,11,20,654
2016,11,21,527
2016,11,22,447
2016,11,23,333
2016,12,0,134
2016,12,1,111
2016,12,2,83
2016,12,3,34
2016,12,4,32
2016,12,5,45
2016,12,6,106
2016,12,7,356
2016,12,8,597
2016,12,9,568
2016,12,10,443
2016,12,11,621
2016,12,12,882
2016,12,13,859
2016,12,14,736
2016,12,15,781
2016,12,16,905
2016,12,17,948
2016,12,18,659
2016,12,19,547
2016,12,20,414
2016,12,21,309
2016,12,22,275
2016,12,23,167
2017,1,0,121
2017,1,1,92
2017,1,2,81
2017,1,3,39
2017,1,4,23
2017,1,5,38
2017,1,6,76
2017,1,7,270
2017,1,8,458
2017,1,9,497
2017,1,10,431
2017,1,11,620
2017,1,12,761
2017,1,13,859
2017,1,14,797
2017,1,15,755
2017,1,16,926
2017,1,17,926
2017,1,18,790
2017,1,19,563
2017,1,20,413
2017,1,21,336
2017,1,22,275
2017,1,23,200
2017,2,0,102
2017,2,1,93
2017,2,2,64
2017,2,3,34
2017,2,4,35
2017,2,5,30
2017,2,6,127
2017,2,7,387
2017,2,8,516
2017,2,9,436
2017,2,10,394
2017,2,11,492
2017,2,12,690
2017,2,13,687
2017,2,14,660
2017,2,15,637
2017,2,16,812
2017,2,17,949
2017,2,18,706
2017,2,19,521
2017,2,20,399
2017,2,21,312
2017,2,22,265
2017,2,23,185
2017,3,0,152
2017,3,1,135
2017,3,2,97
2017,3,3,40
2017,3,4,28
2017,3,5,63
2017,3,6,167
2017,3,7,589
2017,3,8,831
2017,3,9,733
2017,3,10,483
2017,3,11,734
2017,3,12,1088
2017,3,13,1032
2017,3,14,846
2017,3,15,897
2017,3,16,1111
2017,3,17,1219
2017,3,18,1185
2017,3,19,756
2017,3,20,615
2017,3,21,485
2017,3,22,378
2017,3,23,242
2017,4,0,180
2017,4,1,106
2017,4,2,81
2017,4,3,40
2017,4,4,32
2017,4,5,59
2017,4,6,212
2017,4,7,428
2017,4,8,775
2017,4,9,700
2017,4,10,634
2017,4,11,682
2017,4,12,984
2017,4,13,1001
2017,4,14,930
2017,4,15,881
2017,4,16,1066
2017,4,17,1263
2017,4,18,1158
2017,4,19,920
2017,4,20,614
2017,4,21,480
2017,4,22,394
2017,4,23,239
2017,5,0,201
2017,5,1,179
2017,5,2,90
2017,5,3,52
2017,5,4,61
2017,5,5,81
2017,5,6,309
2017,5,7,710
2017,5,8,1040
2017,5,9,868
2017,5,10,690
2017,5,11,1045
2017,5,12,1455
2017,5,13,1405
2017,5,14,1197
2017,5,15,1218
2017,5,16,1585
2017,5,17,1761
2017,5,18,1637
2017,5,19,1263
2017,5,20,924
2017,5,21,728
2017,5,22,539
2017,5,23,342
2017,6,0,273
2017,6,1,183
2017,6,2,110
2017,6,3,61
2017,6,4,59
2017,6,5,93
2017,6,6,285
2017,6,7,694
2017,6,8,1055
2017,6,9,935
2017,6,10,710
2017,6,11,927
2017,6,12,1389
2017,6,13,1279
2017,6,14,1111
2017,6,15,1102
2017,6,16,1502
2017,6,17,1705
2017,6,18,1558
2017,6,19,1175
2017,6,20,974
2017,6,21,667
2017,6,22,504
2017,6,23,328
2017,7,0,311
2017,7,1,211
2017,7,2,118
2017,7,3,90
2017,7,4,80
2017,7,5,125
2017,7,6,299
2017,7,7,759
2017,7,8,1192
2017,7,9,975
2017,7,10,967
2017,7,11,1189
2017,7,12,1605
2017,7,13,1463
2017,7,14,1316
2017,7,15,1196
2017,7,16,1478
2017,7,17,1857
2017,7,18,1876
2017,7,19,1623
2017,7,20,1251
2017,7,21,906
2017,7,22,700
2017,7,23,499
2017,8,0,328
2017,8,1,230
2017,8,2,151
2017,8,3,81
2017,8,4,86
2017,8,5,147
2017,8,6,432
2017,8,7,914
2017,8,8,1457
2017,8,9,1268
2017,8,10,1034
2017,8,11,1276
2017,8,12,1824
2017,8,13,1659
2017,8,14,1371
2017,8,15,1369
2017,8,16,1607
2017,8,17,2196
2017,8,18,2093
2017,8,19,1910
2017,8,20,1404
2017,8,21,1077
2017,8,22,771
2017,8,23,522
2017,9,0,336
2017,9,1,213
2017,9,2,148
2017,9,3,87
2017,9,4,66
2017,9,5,101
2017,9,6,305
2017,9,7,859
2017,9,8,1312
2017,9,9,1156
2017,9,10,1153
2017,9,11,1374
2017,9,12,1632
2017,9,13,1806
2017,9,14,1525
2017,9,15,1623
2017,9,16,1932
2017,9,17,2334
2017,9,18,2238
2017,9,19,1602
2017,9,20,1191
2017,9,21,954
2017,9,22,614
2017,9,23,483
2017,10,0,261
2017,10,1,190
2017,10,2,137
2017,10,3,58
2017,10,4,52
2017,10,5,130
2017,10,6,341
2017,10,7,942
2017,10,8,1530
2017,10,9,1412
2017,10,10,1399
2017,10,11,1703
2017,10,12,2175
2017,10,13,1983
2017,10,14,1880
2017,10,15,1862
2017,10,16,2385
2017,10,17,2709
2017,10,18,2289
2017,10,19,1529
2017,10,20,1050
2017,10,21,808
2017,10,22,554
2017,10,23,445
2017,11,0,280
2017,11,1,164
2017,11,2,121
2017,11,3,58
2017,11,4,57
2017,11,5,84
2017,11,6,308
2017,11,7,777
2017,11,8,1259
2017,11,9,1120
2017,11,10,1171
2017,11,11,1458
2017,11,12,1771
2017,11,13,1802
2017,11,14,1740
2017,11,15,1690
2017,11,16,1902
2017,11,17,1895
2017,11,18,1437
2017,11,19,1116
2017,11,20,872
2017,11,21,620
2017,11,22,506
2017,11,23,424
2017,12,0,197
2017,12,1,127
2017,12,2,80
2017,12,3,58
2017,12,4,30
2017,12,5,76
2017,12,6,218
2017,12,7,568
2017,12,8,978
2017,12,9,985
2017,12,10,1103
2017,12,11,1522
2017,12,12,1906
2017,12,13,1855
2017,12,14,1642
2017,12,15,1782
2017,12,16,1804
2017,12,17,1584
2017,12,18,1236
2017,12,19,949
2017,12,20,704
2017,12,21,585
2017,12,22,459
2017,12,23,310
2018,1,0,256
2018,1,1,207
2018,1,2,136
2018,1,3,85
2018,1,4,46
2018,1,5,85
2018,1,6,300
2018,1,7,710
2018,1,8,1234
2018,1,9,1111
2018,1,10,1062
2018,1,11,1348
2018,1,12,1822
2018,1,13,1730
2018,1,14,1725
2018,1,15,1719
2018,1,16,1960
2018,1,17,1773
2018,1,18,1470
2018,1,19,1124
2018,1,20,931
2018,1,21,564
2018,1,22,468
2018,1,23,355
2018,2,0,150
2018,2,1,101
2018,2,2,49
2018,2,3,38
2018,2,4,35
2018,2,5,61
2018,2,6,297
2018,2,7,772
2018,2,8,1274
2018,2,9,1057
2018,2,10,1015
2018,2,11,1180
2018,2,12,1576
2018,2,13,1543
2018,2,14,1528
2018,2,15,1574
2018,2,16,1772
2018,2,17,1857
2018,2,18,1336
2018,2,19,941
2018,2,20,693
2018,2,21,490
2018,2,22,376
2018,2,23,272
2018,3,0,147
2018,3,1,151
2018,3,2,93
2018,3,3,70
2018,3,4,64
2018,3,5,95
2018,3,6,235
2018,3,7,761
2018,3,8,1222
2018,3,9,1201
2018,3,10,1001
2018,3,11,1420
2018,3,12,1785
2018,3,13,1852
2018,3,14,1859
2018,3,15,1748
2018,3,16,1994
2018,3,17,2287
2018,3,18,1702
2018,3,19,1315
2018,3,20,859
2018,3,21,630
2018,3,22,433
2018,3,23,255
2018,4,0,184
2018,4,1,174
2018,4,2,105
2018,4,3,50
2018,4,4,38
2018,4,5,76
2018,4,6,293
2018,4,7,780
2018,4,8,1224
2018,4,9,1345
2018,4,10,1244
2018,4,11,1538
2018,4,12,1821
2018,4,13,1768
2018,4,14,1784
2018,4,15,1819
2018,4,16,2146
2018,4,17,2366
2018,4,18,2123
2018,4,19,1556
2018,4,20,959
2018,4,21,668
2018,4,22,498
2018,4,23,304
2018,5,0,226
2018,5,1,114
2018,5,2,78
2018,5,3,23
2018,5,4,33
2018,5,5,92
2018,5,6,351
2018,5,7,885
2018,5,8,1356
2018,5,9,1341
2018,5,10,1129
2018,5,11,1444
2018,5,12,1884
2018,5,13,1902
2018,5,14,1735
2018,5,15,1855
2018,5,16,2180
2018,5,17,2581
2018,5,18,2252
2018,5,19,1713
2018,5,20,1104
2018,5,21,782
2018,5,22,583
2018,5,23,472
2018,6,0,283
2018,6,1,183
2018,6,2,115
2018,6,3,50
2018,6,4,55
2018,6,5,116
2018,6,6,385
2018,6,7,1035
2018,6,8,1430
2018,6,9,1179
2018,6,10,1121
2018,6,11,1468
2018,6,12,1739
2018,6,13,1787
2018,6,14,1618
2018,6,15,1719
2018,6,16,2039
2018,6,17,2552
2018,6,18,2200
2018,6,19,1893
2018,6,20,1374
2018,6,21,857
2018,6,22,684
2018,6,23,497
2018,7,0,347
2018,7,1,263
2018,7,2,137
2018,7,3,51
2018,7,4,47
2018,7,5,137
2018,7,6,347
2018,7,7,930
2018,7,8,1572
2018,7,9,1383
2018,7,10,1335
2018,7,11,1614
2018,7,12,2010
2018,7,13,2060
2018,7,14,1800
2018,7,15,1955
2018,7,16,2285
2018,7,17,2569
2018,7,18,2511
2018,7,19,2399
2018,7,20,1836
2018,7,21,1385
2018,7,22,845
2018,7,23,532
2018,8,0,386
2018,8,1,245
2018,8,2,110
2018,8,3,56
2018,8,4,75
2018,8,5,178
2018,8,6,398
2018,8,7,1059
2018,8,8,1640
2018,8,9,1493
2018,8,10,1593
2018,8,11,1950
2018,8,12,2182
2018,8,13,2252
2018,8,14,2153
2018,8,15,2283
2018,8,16,2617
2018,8,17,3134
2018,8,18,2701
2018,8,19,2438
2018,8,20,1615
2018,8,21,1299
2018,8,22,842
2018,8,23,629
2018,9,0,327
2018,9,1,216
2018,9,2,114
2018,9,3,58
2018,9,4,77
2018,9,5,160
2018,9,6,372
2018,9,7,938
2018,9,8,1555
2018,9,9,1683
2018,9,10,1701
2018,9,11,2041
2018,9,12,2181
2018,9,13,2213
2018,9,14,2342
2018,9,15,2249
2018,9,16,2631
2018,9,17,2946
2018,9,18,2569
2018,9,19,1766
2018,9,20,1193
2018,9,21,1019
2018,9,22,744
2018,9,23,510
2018,10,0,291
2018,10,1,186
2018,10,2,117
2018,10,3,56
2018,10,4,50
2018,10,5,160
2018,10,6,397
2018,10,7,1006
2018,10,8,1667
2018,10,9,1474
2018,10,10,1338
2018,10,11,1663
2018,10,12,1946
2018,10,13,2026
2018,10,14,1904
2018,10,15,2010
2018,10,16,2553
2018,10,17,3098
2018,10,18,2244
2018,10,19,1583
2018,10,20,1064
2018,10,21,919
2018,10,22,744
2018,10,23,429
2018,11,0,220
2018,11,1,142
2018,11,2,118
2018,11,3,56
2018,11,4,43
2018,11,5,93
2018,11,6,371
2018,11,7,871
2018,11,8,1383
2018,11,9,1320
2018,11,10,1156
2018,11,11,1477
2018,11,12,1696
2018,11,13,1934
2018,11,14,1680
2018,11,15,1766
2018,11,16,2150
2018,11,17,2094
2018,11,18,1551
2018,11,19,1215
2018,11,20,917
2018,11,21,783
2018,11,22,578
2018,11,23,339
2018,12,0,208
2018,12,1,122
2018,12,2,70
2018,12,3,36
2018,12,4,28
2018,12,5,55
2018,12,6,312
2018,12,7,656
2018,12,8,1117
2018,12,9,1116
2018,12,10,1111
2018,12,11,1535
2018,12,12,1600
2018,12,13,1840
2018,12,14,1881
2018,12,15,1795
2018,12,16,1916
2018,12,17,1568
2018,12,18,1162
2018,12,19,981
2018,12,20,659
2018,12,21,501
2018,12,22,408
2018,12,23,312
2019,1,0,151
2019,1,1,83
2019,1,2,61
2019,1,3,31
2019,1,4,20
2019,1,5,62
2019,1,6,324
2019,1,7,737
2019,1,8,1147
2019,1,9,950
2019,1,10,919
2019,1,11,1130
2019,1,12,1407
2019,1,13,1448
2019,1,14,1398
2019,1,15,1580
2019,1,16,1730
2019,1,17,1845
2019,1,18,1343
2019,1,19,1083
2019,1,20,812
2019,1,21,592
2019,1,22,388
2019,1,23,230
2019,2,0,125
2019,2,1,79
2019,2,2,63
2019,2,3,35
2019,2,4,29
2019,2,5,71
2019,2,6,297
2019,2,7,661
2019,2,8,1071
2019,2,9,874
2019,2,10,851
2019,2,11,1060
2019,2,12,1239
2019,2,13,1264
2019,2,14,1205
2019,2,15,1187
2019,2,16,1481
2019,2,17,1673
2019,2,18,1175
2019,2,19,931
2019,2,20,644
2019,2,21,456
2019,2,22,292
2019,2,23,202
2019,3,0,230
2019,3,1,112
2019,3,2,67
2019,3,3,36
2019,3,4,75
2019,3,5,90
2019,3,6,341
2019,3,7,806
2019,3,8,1192
2019,3,9,1089
2019,3,10,976
2019,3,11,1193
2019,3,12,1472
2019,3,13,1550
2019,3,14,1438
2019,3,15,1518
2019,3,16,1710
2019,3,17,1928
2019,3,18,1578
2019,3,19,1283
2019,3,20,851
2019,3,21,633
2019,3,22,436
2019,3,23,318
2019,4,0,144
2019,4,1,76
2019,4,2,51
2019,4,3,40
2019,4,4,37
2019,4,5,84
2019,4,6,379
2019,4,7,853
2019,4,8,1158
2019,4,9,1004
2019,4,10,856
2019,4,11,1046
2019,4,12,1316
2019,4,13,1324
2019,4,14,1213
2019,4,15,1325
2019,4,16,1650
2019,4,17,1780
2019,4,18,1369
2019,4,19,1144
2019,4,20,725
2019,4,21,535
2019,4,22,402
2019,4,23,231
2019,5,0,207
2019,5,1,79
2019,5,2,58
2019,5,3,43
2019,5,4,33
2019,5,5,77
2019,5,6,449
2019,5,7,791
2019,5,8,1032
2019,5,9,835
2019,5,10,804
2019,5,11,1030
2019,5,12,1360
2019,5,13,1375
2019,5,14,1313
2019,5,15,1372
2019,5,16,1652
2019,5,17,1814
2019,5,18,1461
2019,5,19,1129
2019,5,20,771
2019,5,21,519
2019,5,22,436
2019,5,23,282
2019,6,0,285
2019,6,1,210
2019,6,2,112
2019,6,3,64
2019,6,4,45
2019,6,5,125
2019,6,6,512
2019,6,7,1030
2019,6,8,1424
2019,6,9,1137
2019,6,10,1038
2019,6,11,1477
2019,6,12,1954
2019,6,13,1975
2019,6,14,1716
2019,6,15,2004
2019,6,16,2284
2019,6,17,2413
2019,6,18,2142
2019,6,19,1835
2019,6,20,1256
2019,6,21,862
2019,6,22,576
2019,6,23,405
